st,sex,age,marst,gedu_lvl,tedu_lvl,curr_att,sas,ind_sas,ocu_sas,wrk_365,evr_wrk,ern_reg,ern_self,tothrs_wrk,totadl_wrk,dur_unp,eff_pas,voc,voc_fld,voc_typ
18,2,49,2,08,01,14,,,,,2,0,0,0,0,,,6,,
09,2,20,1,10,01,31,,,,,2,0,0,0,0,,,6,,
33,1,6,1,05,01,24,,,,,2,0,0,0,0,,,,,
07,1,49,2,07,01,,,,,1,,15000,0,63,0,,,4,,
23,2,33,2,06,01,12,,,,1,,0,2450,24,11,,,5,,
18,1,55,2,01,01,,11,01271,611,1,,0,12000,55,0,,,4,,
23,2,29,2,08,01,14,,,,,2,0,0,0,0,,,6,,
09,1,50,2,06,01,,21,01441,612,1,,0,0,32,0,,,3,,
09,1,8,1,04,01,24,,,,,2,0,0,0,0,,,,,
24,2,17,1,08,01,27,,,,,2,0,0,0,0,,,6,,
09,1,65,3,01,01,,11,01111,611,1,,0,7000,46,0,,,,,
10,2,31,2,08,01,14,,,,,2,0,0,0,0,,,6,,
33,1,24,1,12,01,12,,,,,1,0,0,0,0,2,1,6,,
19,1,62,3,10,01,,,,,,1,0,0,0,0,,,,,
24,1,30,2,07,01,,,,,1,,0,45000,53,0,,,2,,
08,1,31,1,12,14,32,,,,,2,0,0,0,0,,,1,11,3
15,2,46,2,07,01,12,,,,1,,0,7000,48,0,,,3,,
18,1,28,2,06,01,12,,,,1,,0,14500,45,4,,,3,,
09,2,21,1,12,01,15,,,,,2,0,0,0,0,,,6,,
27,2,78,3,10,01,,,,,,2,0,0,0,0,,,,,
21,1,28,1,10,01,12,,,,1,,0,29000,43,0,,,6,,
09,2,42,2,05,01,,,,,,2,0,0,0,0,,,2,,
09,2,12,1,04,01,24,,,,,2,0,0,0,0,,,6,,
29,1,14,1,06,01,25,,,,,2,0,0,0,0,,,6,,
18,2,54,2,06,01,12,,,,1,,0,2200,14,0,,,6,,
03,1,6,1,05,01,24,,,,,2,0,0,0,0,,,,,
06,2,33,2,06,01,14,,,,,2,0,0,0,0,,,6,,
27,1,53,2,07,01,,,,,1,,30000,0,48,0,,,6,,
10,1,14,1,07,01,26,,,,,2,0,0,0,0,,,6,,
22,2,4,1,01,01,05,,,,,,0,0,0,0,,,,,
03,1,31,1,12,13,15,,,,1,,45000,0,48,0,,,6,,
01,2,20,1,01,01,05,,,,1,,0,0,31,0,,,6,,
21,1,45,2,06,01,,,,,1,,10000,0,40,5,,,5,,
08,1,60,2,13,01,,,,,1,,0,22000,56,0,,,,,
08,1,26,2,10,01,12,21,01111,611,1,,0,0,44,0,,,1,13,3
19,1,22,1,10,01,31,,,,,2,0,0,0,0,,,6,,
11,1,24,1,07,01,12,,,,1,,0,0,34,0,,,6,,
10,1,25,1,12,14,12,,,,1,,0,20000,63,0,,,1,13,2
29,1,62,2,05,01,,,,,,1,0,0,0,0,,,,,
23,2,80,3,01,01,,,,,,2,0,0,0,0,,,,,
23,1,9,1,05,01,24,,,,,2,0,0,0,0,,,,,
09,2,5,1,05,01,24,,,,,2,0,0,0,0,,,,,
04,1,39,2,13,01,,,,,1,,30000,0,48,0,,,6,,
08,1,31,2,06,01,12,,,,1,,0,0,56,0,,,4,,
21,2,38,4,06,01,,,,,,2,0,0,0,0,,,6,,
09,2,36,2,01,01,,,,,,2,0,0,0,0,,,6,,
06,1,17,1,08,01,27,,,,,2,0,0,0,0,,,6,,
29,1,20,1,12,01,31,,,,,2,0,0,0,0,,,6,,
23,2,28,2,06,01,14,11,01412,632,1,,0,1300,30,0,,,6,,
09,2,45,2,01,01,05,,,,1,,0,5200,30,0,,,6,,
24,1,13,1,06,01,25,,,,,2,0,0,0,0,,,6,,
21,1,44,2,12,01,,,,,1,,0,60000,56,0,,,4,,
33,2,46,2,13,06,,,,,1,,16000,0,46,0,,,4,,
22,2,16,1,08,01,27,,,,,2,0,0,0,0,,,6,,
36,1,8,1,05,01,24,,,,,2,0,0,0,0,,,,,
22,1,35,2,07,01,12,,,,1,,0,0,41,0,,,5,,
24,2,32,2,06,01,,,,,,2,0,0,0,0,,,6,,
08,2,3,1,01,01,05,,,,,,0,0,0,0,,,,,
15,2,66,3,06,01,,,,,,1,0,0,0,0,,,,,
11,1,72,2,06,01,,,,,,1,0,0,0,0,,,,,
09,1,52,2,07,01,12,,,,1,,0,35000,59,0,,,4,,
33,2,54,2,01,01,,11,01411,612,1,,0,0,0,0,,,6,,
09,2,20,2,07,01,14,,,,,2,0,0,0,0,,,6,,
24,1,48,2,12,01,12,,,,1,,18400,0,48,0,,,4,,
10,1,60,2,07,01,,,,,1,,0,40000,51,9,,,,,
24,2,26,1,07,01,12,,,,1,,12000,0,48,0,,,4,,
06,1,30,1,07,01,,,,,1,,14000,0,48,0,,,1,99,3
08,2,1,1,01,01,05,,,,,,0,0,0,0,,,,,
27,1,40,2,01,01,02,,,,1,,25000,0,48,0,,,3,,
27,1,51,2,06,01,12,,,,1,,0,20000,56,0,,,4,,
19,1,16,1,07,01,16,,,,,2,0,0,0,0,,,6,,
09,2,0,1,01,01,05,,,,,,0,0,0,0,,,,,
22,1,30,2,13,01,,,,,,1,0,0,0,0,5,1,6,,
09,2,43,2,01,01,05,,,,,2,0,0,0,0,,,6,,
27,2,60,3,01,01,,,,,1,,0,0,24,0,,,,,
33,2,85,3,01,01,,,,,,2,0,0,0,0,,,,,
09,1,28,2,13,01,16,,,,1,,14000,0,30,0,,,4,,
03,2,39,2,10,01,14,,,,,2,0,0,0,0,,,6,,
23,2,17,1,08,01,27,,,,,2,0,0,0,0,,,6,,
12,2,48,1,01,01,,,,,,2,0,0,0,0,,,6,,
24,1,52,2,08,01,12,,,,1,,0,22000,60,0,,,4,,
09,1,14,1,06,01,25,,,,,2,0,0,0,0,,,6,,
33,2,49,2,10,01,12,,,,,1,0,0,0,0,,,6,,
09,2,39,2,10,01,,,,,,2,0,0,0,0,,,6,,
09,1,40,2,08,01,,,,,1,,0,0,56,0,,,2,,
01,1,36,2,10,01,,,,,1,,0,9000,48,0,,,6,,
22,2,31,2,07,01,14,,,,,2,0,0,0,0,,,6,,
18,1,65,2,08,01,,,,,,1,0,0,0,0,,,,,
07,1,70,2,07,01,,,,,1,,20000,0,48,0,,,,,
27,2,46,2,05,01,,11,14105,815,1,,0,5000,56,0,,,5,,
20,2,36,2,08,01,,,,,,2,0,0,0,0,,,6,,
21,2,50,2,12,01,,,,,,2,0,0,0,0,,,6,,
09,1,32,2,01,01,,,,,1,,0,0,56,6,,,6,,
27,2,21,2,01,01,02,,,,1,,0,0,0,0,,,6,,
03,1,42,2,06,01,16,,,,1,,0,0,0,0,,,3,,
27,2,7,1,05,01,24,,,,,2,0,0,0,0,,,,,
23,1,12,1,05,01,24,,,,,2,0,0,0,0,,,6,,
09,2,35,2,10,01,14,,,,,2,0,0,0,0,,,6,,
23,1,12,1,06,01,25,,,,,2,0,0,0,0,,,6,,
09,2,65,3,01,01,,,,,,1,0,0,0,0,,,,,
23,2,29,2,06,01,14,,,,1,,0,0,27,0,,,6,,
29,1,65,2,06,01,,,,,1,,0,12000,17,0,,,,,
28,1,56,2,01,01,02,21,01412,612,1,,0,45000,62,0,,,2,,
09,2,9,1,05,01,24,,,,,2,0,0,0,0,,,,,
36,1,33,2,08,01,12,,,,1,,0,0,42,0,,,5,,
02,2,3,1,01,01,05,,,,,,0,0,0,0,,,,,
28,2,45,2,01,01,,41,42204,931,1,,0,0,39,0,,,6,,
06,2,11,1,05,01,24,,,,,2,0,0,0,0,,,,,
08,2,11,1,06,01,25,,,,,2,0,0,0,0,,,,,
08,2,23,1,12,01,43,,,,,2,0,0,0,0,,,6,,
08,2,42,2,08,01,14,,,,,1,0,0,0,0,,,6,,
07,1,16,1,07,01,26,,,,,2,0,0,0,0,,,6,,
06,2,15,1,08,01,27,,,,,2,0,0,0,0,,,6,,
32,1,8,1,05,01,24,,,,,2,0,0,0,0,,,,,
21,2,2,1,01,01,05,,,,,,0,0,0,0,,,,,
28,2,42,3,05,01,13,,,,1,,0,12000,45,0,,,5,,
10,2,26,2,08,01,14,21,01113,611,1,,0,0,25,0,,,6,,
15,2,2,1,01,01,05,,,,,,0,0,0,0,,,,,
29,1,58,2,05,01,12,,,,1,,0,5500,15,0,,,2,,
10,2,45,2,08,01,,,,,,2,0,0,0,0,,,6,,
27,2,26,2,07,01,12,,,,1,,0,0,49,0,,,6,,
24,1,50,2,06,01,,,,,1,,10000,0,51,0,,,6,,
21,1,10,1,05,01,24,,,,,2,0,0,0,0,,,,,
03,2,85,3,01,01,,,,,,2,0,0,0,0,,,,,
09,1,60,3,07,01,,,,,1,,0,40000,45,0,,,,,
23,1,39,2,12,01,15,,,,1,,35000,0,48,0,,,4,,
09,2,25,2,10,01,14,,,,,2,0,0,0,0,,,6,,
27,2,27,1,13,01,12,,,,2,,15000,0,42,0,,,4,,
09,2,16,1,08,01,27,,,,,2,0,0,0,0,,,6,,
08,2,56,2,01,01,,,,,,1,0,0,0,0,,,2,,
33,2,16,1,08,01,27,,,,,2,0,0,0,0,,,6,,
33,2,27,2,10,01,14,,,,,2,0,0,0,0,,,6,,
19,2,39,2,07,01,12,,,,1,,0,2400,37,5,,,4,,
23,1,72,2,07,01,,,,,1,,0,21560,28,0,,,,,
12,1,8,1,05,01,24,,,,,2,0,0,0,0,,,,,
09,2,5,1,01,01,05,,,,,2,0,0,0,0,,,,,
01,2,24,1,12,08,32,,,,,2,0,0,0,0,,,4,,
21,1,23,1,08,01,12,,,,1,,10000,0,48,0,,,2,,
23,2,25,2,07,01,14,,,,,1,0,0,0,0,,,6,,
18,1,45,2,07,01,,,,,1,,0,10000,36,0,,,3,,
07,2,46,2,10,01,14,,,,,2,0,0,0,0,,,6,,
01,1,9,1,05,01,24,,,,,2,0,0,0,0,,,,,
23,2,2,1,01,01,05,,,,,,0,0,0,0,,,,,
